日期(年/月),單位,全國發電量_總計(數值),全國發電量_抽蓄水力(數值),全國發電量_火力_合計(數值),全國發電量_火力_燃煤(數值),全國發電量_火力_燃油(數值),全國發電量_火力_燃氣(數值),全國發電量_核能(數值),全國發電量_再生能源_合計(數值),全國發電量_再生能源_慣常水力(數值),全國發電量_再生能源_地熱(數值),全國發電量_再生能源_太陽光電(數值),全國發電量_再生能源_風力(數值),全國發電量_再生能源_生質能(數值),全國發電量_再生能源_廢棄物(數值),台電發電量_合計(數值),台電發電量_抽蓄水力(數值),台電發電量_火力_小計(數值),台電發電量_火力_燃煤(數值),台電發電量_火力_燃油(數值),台電發電量_火力_燃氣(數值),台電發電量_核能(數值),台電發電量_再生能源_小計(數值),台電發電量_再生能源_慣常慣常水力(數值),台電發電量_再生能源_地熱(數值),台電發電量_再生能源_太陽光電(數值),台電發電量_再生能源_風力(數值),民營電廠發電量_合計(數值),民營電廠發電量_火力_小計(數值),民營電廠發電量_火力_燃煤(數值),民營電廠發電量_火力_燃氣(數值),民營電廠發電量_再生能源_小計(數值),民營電廠發電量_再生能源_慣常水力(數值),民營電廠發電量_再生能源_地熱(數值),民營電廠發電量_再生能源_太陽光電(數值),民營電廠發電量_再生能源_風力(數值),自用發電設備發電量_合計(數值),自用發電設備發電量_火力_小計(數值),自用發電設備發電量_火力_燃煤(數值),自用發電設備發電量_火力_燃油(數值),自用發電設備發電量_火力_燃氣(數值),自用發電設備發電量_再生能源_小計(數值),自用發電設備發電量_再生能源_慣常水力(數值),自用發電設備發電量_再生能源_地熱(數值),自用發電設備發電量_再生能源_太陽光電(數值),自用發電設備發電量_再生能源_風力(數值),自用發電設備發電量_再生能源_生質能(數值),自用發電設備發電量_再生能源_廢棄物(數值)
200908,百萬度,22280.97263,279.74,17394.63223,11170.70089,859.889606,5364.041734,3761.967,844.633401,529.395301,0,0.786793,24.299136,14.487599,275.664572,14620.66864,279.74,10050.73967,5938.439291,531.058853,3581.241522,3761.967,528.221977,517.716238,0,0.006386,10.499353,3928.487823,3903.256019,2184.942823,1718.313196,25.231804,11.679063,0,0,13.552741,3731.81616,3440.63654,3047.318771,328.830753,64.487016,291.17962,0,0,0.780407,0.247042,14.487599,275.664572
200909,百萬度,21779.01036,254.585,17161.74721,10650.0056,1199.296399,5312.445212,3693.1864,669.491753,338.597485,0,0.757695,38.863073,19.720886,271.552614,14354.35661,254.585,10063.19477,5761.930365,900.932742,3400.331659,3693.1864,343.390441,322.749605,0,0.009577,20.631259,3882.415332,3848.89367,2012.047192,1836.846478,33.521662,15.84788,0,0,17.673782,3542.238421,3249.658771,2876.028039,298.363657,75.267075,292.57965,0,0,0.748118,0.558032,19.720886,271.552614
200910,百萬度,19976.17307,268.691,15502.508,10556.18781,780.173153,4166.147041,3396.0006,808.97347,435.093621,0,0.904269,111.544773,24.064179,237.366628,13146.27035,268.691,9014.363688,5486.125269,491.755552,3036.482867,3396.0006,467.215064,419.680569,0,0.009095,47.5254,3202.446989,3124.578157,2061.191885,1063.386272,77.868832,15.413052,0,0,62.45578,3627.455729,3363.566155,3008.870652,288.417601,66.277902,263.889574,0,0,0.895174,1.563593,24.064179,237.366628
200911,百萬度,18561.56721,258.48,14930.82594,10035.61349,663.661357,4231.5511,2772.7122,599.549072,253.663332,0,0.852407,89.485934,23.515348,232.032051,12132.01594,258.48,8811.714605,5224.160637,483.425785,3104.128183,2772.7122,289.109138,242.098222,0,0.007051,47.003865,2971.554313,2918.612869,1854.135722,1064.477147,52.941444,11.56511,0,0,41.376334,3457.996958,3200.498468,2957.317126,180.235572,62.94577,257.49849,0,0,0.845356,1.105735,23.515348,232.032051
200912,百萬度,18816.50531,259.666,14399.63408,10266.05592,767.490843,3366.087323,3587.224,569.981231,155.684982,0,1.066312,111.023379,30.6159,271.590658,12310.067,259.666,8260.399375,5558.246726,581.478851,2120.673798,3587.224,202.777622,154.158933,0,0.006255,48.612434,2895.623063,2832.813282,1671.27197,1161.541312,62.809781,1.526049,0,0,61.283732,3610.815254,3306.421426,3036.537221,186.011992,83.872213,304.393828,0,0,1.060057,1.127213,30.6159,271.590658
201001,百萬度,18884.93142,258.355999,14340.0378,9919.889801,1027.402223,3392.745778,3674.3488,612.188821,201.436365,0,1.305249,100.645324,27.476725,281.325158,12167.77523,258.355999,7991.059071,5101.598704,775.690721,2113.769646,3674.3488,244.011362,199.094464,0,0.256556,44.660342,3234.754058,3177.708203,1988.031783,1189.67642,57.045855,2.341901,0,0,54.703954,3482.402132,3171.270528,2830.259314,251.711502,89.299712,311.131604,0,0,1.048693,1.281028,27.476725,281.325158
201002,百萬度,16496.68964,256.113,12077.67025,8396.666052,1024.573497,2656.430701,3498.3094,664.596989,306.612396,0,1.22925,81.884301,22.959096,251.911946,10964.23474,256.113,6867.985502,4461.528831,772.779878,1633.676793,3498.3094,341.826841,301.020416,0,0.235257,40.571168,2576.274853,2530.222005,1591.638689,938.583316,46.052848,5.59198,0,0,40.460868,2956.180043,2679.462743,2343.498532,251.793619,84.170592,276.7173,0,0,0.993993,0.852265,22.959096,251.911946
201003,百萬度,19678.63154,272.015,15127.03678,9521.99566,1009.255685,4595.785433,3609.6234,669.956358,307.398332,0,1.335275,76.747681,23.699193,260.775877,13115.14295,272.015,8905.851661,5156.739849,753.864308,2995.247504,3609.6234,327.65289,291.043842,0,0.33841,36.270638,3300.758183,3244.741115,1735.76305,1508.978065,56.017068,16.35449,0,0,39.662578,3262.730402,2976.444002,2629.492761,255.391377,91.559864,286.2864,0,0,0.996865,0.814465,23.699193,260.775877
201004,百萬度,19228.06353,247.588,15306.54731,9461.547281,901.141785,4943.858246,3047.6611,626.267121,287.731136,0,1.598209,75.712088,21.473526,239.752162,13155.39248,247.588,9540.815828,5396.163531,641.780279,3502.872018,3047.6611,319.327554,280.787336,0,0.310101,38.230117,2958.325459,2914.730155,1544.211255,1370.5189,43.595304,6.9438,0,0,36.651504,3114.345592,2851.001329,2521.172495,259.361506,70.467328,263.344263,0,0,1.288108,0.830467,21.473526,239.752162
201005,百萬度,21403.50936,272.249,17127.04511,10342.15223,1015.257102,5769.635772,3380.5355,623.679755,332.573775,0,1.609077,41.211707,23.579352,224.705844,14218.42967,272.249,10218.71544,5334.173521,745.763171,4138.778751,3380.5355,346.929726,324.001795,0,0.345823,22.582108,3813.115813,3786.565893,2241.175006,1545.390887,26.54992,8.57198,0,0,17.97794,3371.96388,3121.763771,2766.803706,269.493931,85.466134,250.200109,0,0,1.263254,0.651659,23.579352,224.705844
